Bulk loading file /home/user/data/large_devops_data.csv.gz
localhost:5432 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1677429414,324754.62,3.247600E+06,324754.62,28999.52,2.900000E+05,28999.52
1677429424,359195.94,6.839600E+06,341975.23,31999.64,6.100000E+05,30499.57
1677429434,336265.17,1.020240E+07,340071.84,29998.68,9.100000E+05,30332.61
1677429444,337598.48,1.357840E+07,339453.51,29999.87,1.210000E+06,30249.42
1677429454,347743.85,1.705560E+07,341111.46,31002.13,1.520000E+06,30399.95
1677429464,291393.69,1.996960E+07,332825.03,25999.44,1.780000E+06,29666.52
1677429474,280357.67,2.277320E+07,325329.67,24999.79,2.030000E+06,28999.84
1677429484,302999.39,2.580320E+07,322538.39,26999.95,2.300000E+06,28749.86
1677429494,280964.25,2.861280E+07,317919.13,25000.38,2.550000E+06,28333.26
1677429504,291466.24,3.152760E+07,315273.73,25998.77,2.810000E+06,28099.80
1677429514,258209.41,3.410960E+07,310086.27,23000.84,3.040000E+06,27636.27
1677429524,179359.53,3.590320E+07,299192.38,15999.96,3.200000E+06,26666.58
1677429534,269424.09,3.859760E+07,296902.40,23998.58,3.440000E+06,26461.34
1677429544,314523.68,4.174280E+07,298161.04,28000.33,3.720000E+06,26571.27
1677429554,202006.10,4.376280E+07,291750.93,18000.54,3.900000E+06,25999.90
1677429564,235252.20,4.611520E+07,288219.94,21001.09,4.110000E+06,25687.49
1677429574,135478.10,4.747000E+07,279235.01,11999.83,4.230000E+06,24882.33
1677429584,336259.69,5.083280E+07,282403.22,29998.19,4.530000E+06,25166.56
1677429594,291484.10,5.374760E+07,282881.16,26000.37,4.790000E+06,25210.44
1677429604,213528.51,5.588280E+07,279413.67,19000.76,4.980000E+06,24899.97
1677429614,279944.59,5.868240E+07,279438.95,24998.62,5.230000E+06,24904.67
1677429624,303014.35,6.171240E+07,280510.51,27001.28,5.500000E+06,24999.96
1677429634,292735.13,6.464000E+07,281042.05,25997.79,5.760000E+06,25043.35
1677429644,145851.15,6.609840E+07,275409.54,13000.99,5.890000E+06,24541.63
1677429654,246712.76,6.856560E+07,274261.64,21999.35,6.110000E+06,24439.93
1677429664,157283.78,7.013840E+07,269762.61,14000.34,6.250000E+06,24038.42
1677429674,202003.88,7.215840E+07,267253.07,18000.35,6.430000E+06,23814.79
1677429684,235112.12,7.450960E+07,266105.15,20999.30,6.640000E+06,23714.24
1677429694,202008.63,7.652960E+07,263895.02,18000.77,6.820000E+06,23517.23
1677429704,134272.78,7.787240E+07,259574.05,11999.35,6.940000E+06,23133.28
1677429714,258277.01,8.045520E+07,259532.21,22999.73,7.170000E+06,23128.97
1677429724,213445.97,8.258960E+07,258092.06,19000.53,7.360000E+06,22999.96
1677429734,258330.56,8.517280E+07,258099.29,23000.94,7.590000E+06,22999.99
1677429744,279945.76,8.797240E+07,258741.86,24998.73,7.840000E+06,23058.78
1677429754,269722.97,9.066960E+07,259055.61,24000.26,8.080000E+06,23085.68
1677429764,225048.66,9.292000E+07,258111.00,20000.77,8.280000E+06,22999.99
1677429774,178950.89,9.470960E+07,255971.44,15999.19,8.440000E+06,22810.77
1677429784,145796.37,9.616760E+07,253072.03,12999.68,8.570000E+06,22552.58
1677429794,314540.83,9.931280E+07,254648.05,28001.85,8.850000E+06,22692.29
1677429804,269708.59,1.020100E+08,255024.57,23998.98,9.090000E+06,22724.96
1677429814,178960.85,1.037996E+08,253169.37,16000.08,9.250000E+06,22560.94
1677429824,303000.55,1.068296E+08,254355.83,27000.05,9.520000E+06,22666.63
1677429834,326041.03,1.100900E+08,256022.92,29000.09,9.810000E+06,22813.92
1677429844,235290.19,1.124428E+08,255551.74,21000.91,1.002000E+07,22772.72
1677429854,291458.50,1.153576E+08,256349.72,25998.08,1.028000E+07,22844.40
1677429864,336580.74,1.187232E+08,258093.77,30001.85,1.058000E+07,22999.99
1677429874,257920.27,1.213024E+08,258090.08,23000.02,1.081000E+07,22999.99
1677429884,314520.41,1.244476E+08,259265.71,28000.04,1.109000E+07,23104.16
1677429894,201990.37,1.264676E+08,258096.77,17999.14,1.127000E+07,22999.97
1677429904,269814.92,1.291656E+08,258331.12,24001.33,1.151000E+07,23019.99
1677429914,112403.11,1.302900E+08,255468.86,9996.72,1.161000E+07,22764.55
1677429924,111271.73,1.314024E+08,252696.64,10002.85,1.171000E+07,22519.21
1677429934,348089.67,1.348832E+08,254496.45,31000.86,1.202000E+07,22679.23
1677429944,303008.64,1.379132E+08,255394.80,27000.77,1.229000E+07,22759.26
1677429954,224636.48,1.401596E+08,254835.55,19999.69,1.249000E+07,22709.08
1677429964,235269.72,1.425124E+08,254486.15,20999.08,1.270000E+07,22678.55
1677429974,326028.43,1.457728E+08,255741.32,28998.97,1.299000E+07,22789.43
1677429984,314555.80,1.489184E+08,256755.37,27999.63,1.327000E+07,22879.27
1677429994,369437.87,1.526124E+08,258665.05,33003.38,1.360000E+07,23050.84
1677430004,382287.50,1.564356E+08,260725.59,33997.11,1.394000E+07,23233.30
1677430014,246719.41,1.589028E+08,260495.98,21999.95,1.416000E+07,23213.08
1677430024,258280.97,1.614856E+08,260460.26,23000.09,1.439000E+07,23209.64
1677430034,324706.65,1.647324E+08,261479.96,29002.38,1.468000E+07,23301.58
1677430044,314513.85,1.678776E+08,262308.63,27999.45,1.496000E+07,23374.99
1677430054,225079.20,1.701284E+08,261735.87,19999.93,1.516000E+07,23323.07
1677430064,336044.43,1.734896E+08,262862.00,29993.26,1.546000E+07,23424.15
1677430074,347868.39,1.769676E+08,264130.50,31006.10,1.577000E+07,23537.29
1677430084,258197.49,1.795496E+08,264043.25,22999.78,1.600000E+07,23529.39
1677430094,381377.76,1.833632E+08,265743.67,34001.58,1.634000E+07,23681.15
1677430104,213199.27,1.854952E+08,264993.04,18999.94,1.653000E+07,23614.28
1677430114,281324.40,1.883084E+08,265223.05,25000.39,1.678000E+07,23633.80
1677430124,324680.73,1.915552E+08,266048.85,29000.07,1.707000E+07,23708.33
1677430134,302976.34,1.945852E+08,266554.75,26997.89,1.734000E+07,23753.40
1677430144,213457.84,1.967196E+08,265837.28,19001.59,1.753000E+07,23689.19
1677430154,280342.49,1.995232E+08,266030.70,24998.44,1.778000E+07,23706.65
1677430164,314187.10,2.026652E+08,266664.36,27998.85,1.806000E+07,23763.12
1677430174,291821.91,2.055832E+08,266991.06,26001.95,1.832000E+07,23792.20
1677430184,280958.98,2.083928E+08,267170.13,24999.91,1.857000E+07,23807.68
1677430194,291487.40,2.113076E+08,267477.94,26000.66,1.883000E+07,23835.44
1677430204,269787.45,2.140056E+08,267506.81,23998.88,1.907000E+07,23837.48
1677430214,167752.56,2.156832E+08,266275.22,14999.33,1.922000E+07,23728.37
1677430224,224641.57,2.179296E+08,265767.50,20000.14,1.942000E+07,23682.90
1677430234,314627.19,2.210756E+08,266356.12,28002.42,1.970000E+07,23734.94
1677430244,336192.64,2.244376E+08,267187.52,29999.34,2.000000E+07,23809.52
1677430254,326073.57,2.276984E+08,267880.31,28999.43,2.029000E+07,23870.57
1677430264,324663.93,2.309452E+08,268540.62,28998.56,2.058000E+07,23930.20
1677430274,258252.78,2.335276E+08,268422.37,23001.14,2.081000E+07,23919.53
1677430284,382229.50,2.373500E+08,269715.67,33999.07,2.115000E+07,24034.07
1677430294,347834.70,2.408284E+08,270593.43,30999.53,2.146000E+07,24112.33
1677430304,258182.10,2.434100E+08,270455.53,23001.97,2.169000E+07,24100.00
1677430314,324743.78,2.466576E+08,271052.14,28998.55,2.198000E+07,24153.83
1677430324,314528.95,2.498028E+08,271524.70,28000.80,2.226000E+07,24195.64
1677430334,314557.59,2.529484E+08,271987.42,27999.79,2.254000E+07,24236.55
1677430344,302993.84,2.559784E+08,272317.28,26999.45,2.281000E+07,24265.94
1677430354,392431.79,2.599028E+08,273581.67,34999.27,2.316000E+07,24378.93
1677430364,279969.42,2.627024E+08,273648.21,25000.84,2.341000E+07,24385.41
1677430374,348084.97,2.661832E+08,274415.59,31000.44,2.372000E+07,24453.60
1677430384,280875.81,2.689928E+08,274481.53,24992.51,2.397000E+07,24459.10
1677430394,280047.02,2.717924E+08,274537.73,25007.77,2.422000E+07,24464.64
1677430404,337577.39,2.751684E+08,275168.16,29997.99,2.452000E+07,24519.98
1677430414,268399.87,2.778524E+08,275101.15,23999.99,2.476000E+07,24514.83
1677430424,269715.53,2.805496E+08,275048.35,23999.60,2.500000E+07,24509.78
1677430434,381365.81,2.843632E+08,276080.54,34000.52,2.534000E+07,24601.92
1677430444,303023.95,2.873932E+08,276339.59,27002.13,2.561000E+07,24625.00
1677430454,302972.86,2.904232E+08,276593.27,26997.58,2.588000E+07,24647.60
1677430464,257941.18,2.930024E+08,276417.32,23001.89,2.611000E+07,24632.07
1677430474,326024.00,2.962628E+08,276880.95,28998.58,2.640000E+07,24672.88
1677430484,258291.95,2.988456E+08,276708.84,23001.06,2.663000E+07,24657.40
1677430494,258259.88,3.014284E+08,276539.57,22998.21,2.686000E+07,24642.18
1677430504,235141.63,3.037796E+08,276163.26,21001.93,2.707000E+07,24609.09
1677430514,280343.99,3.065832E+08,276200.93,24998.57,2.732000E+07,24612.60
1677430524,224468.88,3.088296E+08,275738.69,19984.76,2.752000E+07,24571.25
1677430534,303248.79,3.118596E+08,275981.94,27022.17,2.779000E+07,24592.92
1677430544,269871.07,3.145584E+08,275928.33,23999.21,2.803000E+07,24587.71
1677430554,258148.00,3.171400E+08,275773.71,22998.93,2.826000E+07,24573.90
1677430564,303009.49,3.201700E+08,276008.50,27000.85,2.853000E+07,24594.82
1677430574,313225.64,3.233024E+08,276326.61,27998.72,2.881000E+07,24623.91
1677430584,269577.02,3.259996E+08,276269.38,23987.28,2.905000E+07,24618.51
1677430594,235404.23,3.283524E+08,275926.15,21011.09,2.926000E+07,24588.21
1677430604,337628.21,3.317284E+08,276440.29,30002.51,2.956000E+07,24633.33
1677430614,279910.18,3.345276E+08,276468.97,24999.12,2.981000E+07,24636.35
1677430624,235560.60,3.368832E+08,276133.66,21000.05,3.002000E+07,24606.55
1677430634,224645.08,3.391296E+08,275715.06,20000.45,3.022000E+07,24569.10
1677430644,347786.96,3.426076E+08,276296.31,30998.84,3.053000E+07,24620.95
1677430654,213528.97,3.447428E+08,275794.19,19000.80,3.072000E+07,24576.00
1677430664,258269.41,3.473256E+08,275655.10,22999.06,3.095000E+07,24563.48
1677430674,268751.45,3.500132E+08,275600.74,23999.24,3.119000E+07,24559.04
1677430684,257930.43,3.525924E+08,275462.69,23000.93,3.142000E+07,24546.86
1677430694,191752.25,3.545100E+08,274813.75,16999.31,3.159000E+07,24488.35
1677430704,268536.46,3.571952E+08,274765.47,24001.47,3.183000E+07,24484.61
1677430714,337457.90,3.605700E+08,275244.07,29998.04,3.213000E+07,24526.70
