Bulk loading file /home/user/data/large-data.csv.gz
localhost:5432 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1677084540,190032.57,1.900452E+06,190032.57,37997.47,3.800000E+05,37997.47
1677084550,179957.10,3.699956E+06,184995.10,36001.34,7.400000E+05,36999.46
1677084560,170001.93,5.399948E+06,179997.48,34000.55,1.080000E+06,35999.84
1677084570,165017.91,7.050264E+06,176252.36,32997.26,1.410000E+06,35249.15
1677084580,189963.15,8.949728E+06,178994.28,38003.35,1.790000E+06,35799.94
1677084590,145023.58,1.040002E+07,173332.31,28998.80,2.080000E+06,34666.38
1677084600,199979.90,1.239988E+07,177139.16,39998.94,2.480000E+06,35428.19
1677084610,120070.38,1.360049E+07,170006.09,24001.76,2.720000E+06,33999.99
1677084620,109966.91,1.470019E+07,163334.91,21999.38,2.940000E+06,32666.55
1677084630,165007.78,1.635031E+07,163502.20,32999.16,3.270000E+06,32699.82
1677084640,140026.77,1.775059E+07,161368.06,27999.75,3.550000E+06,32272.54
1677084650,150039.01,1.925097E+07,160423.99,30000.28,3.850000E+06,32083.18
1677084660,170007.03,2.095096E+07,161161.11,34001.57,4.190000E+06,32230.74
1677084670,189925.83,2.285032E+07,163215.84,37997.89,4.570000E+06,32642.70
1677084680,179984.24,2.465036E+07,164333.84,35996.21,4.930000E+06,32866.29
1677084690,154979.02,2.620009E+07,163749.19,31001.17,5.240000E+06,32749.73
1677084700,150054.74,2.770047E+07,162943.72,30003.35,5.540000E+06,32588.19
1677084710,175004.57,2.945067E+07,163613.82,34996.91,5.890000E+06,32722.02
1677084720,164991.68,3.110058E+07,163686.34,33000.18,6.220000E+06,32736.66
1677084730,170039.52,3.280080E+07,164003.97,34003.34,6.560000E+06,32799.99
1677084740,194919.97,3.475017E+07,165476.28,38996.63,6.950000E+06,33095.09
1677084750,140028.42,3.615057E+07,164319.47,27997.68,7.230000E+06,32863.37
1677084760,154972.28,3.770010E+07,163913.12,31003.82,7.540000E+06,32782.53
1677084770,169985.30,3.939991E+07,164166.12,34000.90,7.880000E+06,32833.30
1677084780,170003.95,4.110006E+07,164399.65,33997.83,8.220000E+06,32879.88
1677084790,209989.07,4.319986E+07,166153.02,42001.73,8.640000E+06,33230.71
1677084800,170000.06,4.489980E+07,166295.49,34001.29,8.980000E+06,33259.25
1677084810,150054.76,4.640041E+07,165715.44,29998.71,9.280000E+06,33142.79
1677084820,170026.86,4.810061E+07,165864.11,34001.37,9.620000E+06,33172.40
1677084830,159940.53,4.970014E+07,165666.64,31997.47,9.940000E+06,33133.23
1677084840,159947.24,5.129955E+07,165482.15,32001.37,1.026000E+07,33096.72
1677084850,185056.90,5.315008E+07,166093.85,37000.66,1.063000E+07,33218.72
1677084860,174963.17,5.489982E+07,166362.63,34997.99,1.098000E+07,33272.64
1677084870,189901.04,5.679882E+07,167054.94,38000.05,1.136000E+07,33411.68
1677084880,165047.25,5.844928E+07,166997.57,33000.41,1.169000E+07,33399.93
1677084890,179954.48,6.024880E+07,167357.48,36000.42,1.205000E+07,33472.16
1677084900,160027.94,6.184899E+07,167159.40,32001.83,1.237000E+07,33432.43
1677084910,154960.45,6.339859E+07,166838.37,31000.01,1.268000E+07,33368.42
1677084920,195073.22,6.534940E+07,167562.37,38998.40,1.307000E+07,33512.78
1677084930,159969.83,6.694903E+07,167372.57,32001.41,1.339000E+07,33475.00
1677084940,149949.24,6.844864E+07,166947.58,29997.61,1.369000E+07,33390.18
1677084950,195044.22,7.039910E+07,167616.55,38999.64,1.408000E+07,33523.74
1677084960,125006.34,7.164911E+07,166625.66,25001.19,1.433000E+07,33325.55
1677084970,189971.02,7.354879E+07,167156.23,38000.60,1.471000E+07,33431.80
1677084980,185030.22,7.539918E+07,167553.45,36998.12,1.508000E+07,33511.05
1677084990,170010.94,7.709927E+07,167606.87,34000.51,1.542000E+07,33521.69
1677085000,174971.09,7.884900E+07,167763.56,34999.66,1.577000E+07,33553.14
1677085010,165010.59,8.049901E+07,167706.21,33001.80,1.610000E+07,33541.65
1677085020,154941.87,8.204850E+07,167445.70,30998.53,1.641000E+07,33489.75
1677085030,180053.65,8.384896E+07,167697.85,36001.61,1.677000E+07,33539.99
1677085040,159951.18,8.544851E+07,167545.95,31999.28,1.709000E+07,33509.77
1677085050,135023.35,8.679875E+07,166920.51,26999.87,1.736000E+07,33384.58
1677085060,159993.16,8.839864E+07,166789.81,32000.71,1.768000E+07,33358.47
1677085070,160013.17,8.999891E+07,166664.30,31997.35,1.800000E+07,33333.27
1677085080,169983.32,9.169856E+07,166724.64,34003.55,1.834000E+07,33345.45
1677085090,89986.93,9.259848E+07,165354.25,17998.99,1.852000E+07,33071.39
1677085100,185043.08,9.444924E+07,165699.73,36993.58,1.889000E+07,33140.21
1677085110,149966.55,9.594861E+07,165428.52,30005.79,1.919000E+07,33086.18
1677085120,120034.77,9.714902E+07,164659.10,23998.79,1.943000E+07,32932.15
1677085130,134951.45,9.849841E+07,164164.01,27002.45,1.970000E+07,32833.33
1677085140,160051.87,1.000990E+08,164096.60,31998.53,2.002000E+07,32819.65
1677085150,134964.97,1.014486E+08,163626.75,27001.00,2.029000E+07,32725.80
1677085160,134999.37,1.027986E+08,163172.35,27000.03,2.056000E+07,32634.92
1677085170,175020.13,1.045488E+08,163357.47,34999.87,2.091000E+07,32671.87
1677085180,179994.63,1.063489E+08,163613.44,35997.97,2.127000E+07,32723.04
1677085190,154950.00,1.078983E+08,163482.18,31000.24,2.158000E+07,32696.94
1677085200,155000.65,1.094484E+08,163355.59,30999.65,2.189000E+07,32671.61
1677085210,139999.25,1.108483E+08,163012.12,28000.73,2.217000E+07,32602.92
1677085220,150037.23,1.123486E+08,162824.09,30001.13,2.247000E+07,32565.21
1677085230,114949.30,1.134982E+08,162140.11,22998.18,2.270000E+07,32428.53
1677085240,149945.44,1.149977E+08,161968.34,29998.61,2.300000E+07,32394.30
1677085250,165014.05,1.166478E+08,162010.64,33001.93,2.333000E+07,32402.74
1677085260,140012.06,1.180478E+08,161709.31,28001.93,2.361000E+07,32342.46
1677085270,164984.42,1.196978E+08,161753.57,32997.36,2.394000E+07,32351.31
1677085280,169989.94,1.213977E+08,161863.39,34000.55,2.428000E+07,32373.30
1677085290,125026.81,1.226479E+08,161378.72,25001.04,2.453000E+07,32276.30
1677085300,134981.42,1.239977E+08,161035.90,27000.20,2.480000E+07,32207.78
1677085310,150020.65,1.254980E+08,160894.67,29997.49,2.510000E+07,32179.44
1677085320,134999.90,1.268480E+08,160566.90,27001.18,2.537000E+07,32113.90
1677085330,180043.78,1.286483E+08,160810.35,36001.15,2.573000E+07,32162.49
1677085340,145028.37,1.300987E+08,160615.50,28997.99,2.602000E+07,32123.42
1677085350,159987.73,1.316986E+08,160607.85,31999.87,2.634000E+07,32121.91
1677085360,169964.90,1.333981E+08,160720.57,34002.34,2.668000E+07,32144.56
1677085370,124997.26,1.346481E+08,160295.29,24999.77,2.693000E+07,32059.51
1677085380,175021.91,1.363984E+08,160468.56,34998.06,2.728000E+07,32094.08
1677085390,139970.58,1.377981E+08,160230.22,28001.64,2.756000E+07,32046.50
1677085400,154994.43,1.393480E+08,160170.04,30999.77,2.787000E+07,32034.46
1677085410,119977.47,1.405477E+08,159713.32,24000.93,2.811000E+07,31943.18
1677085420,180054.43,1.423483E+08,159941.87,36000.17,2.847000E+07,31988.76
1677085430,134992.10,1.436983E+08,159664.64,26998.50,2.874000E+07,31933.31
1677085440,134971.15,1.450480E+08,159393.28,26999.43,2.901000E+07,31879.09
1677085450,139974.84,1.464477E+08,159182.22,28002.01,2.929000E+07,31836.95
1677085460,185037.64,1.482981E+08,159460.24,36998.97,2.966000E+07,31892.46
1677085470,144947.90,1.497476E+08,159305.85,28999.34,2.995000E+07,31861.68
1677085480,175011.99,1.514977E+08,159471.18,34999.76,3.030000E+07,31894.71
1677085490,145046.08,1.529481E+08,159320.93,29001.86,3.059000E+07,31864.58
1677085500,129991.30,1.542481E+08,159018.54,25998.18,3.085000E+07,31804.10
1677085510,144945.63,1.556975E+08,158874.94,29000.41,3.114000E+07,31775.49
1677085520,150062.04,1.571981E+08,158785.93,30001.05,3.144000E+07,31757.57
1677085530,145012.93,1.586482E+08,158648.20,29000.03,3.173000E+07,31729.99
1677085540,190029.33,1.605485E+08,158958.90,38000.27,3.211000E+07,31792.07
1677085550,104983.82,1.615984E+08,158429.70,20998.68,3.232000E+07,31686.25
1677085560,155006.99,1.631484E+08,158396.47,31000.84,3.263000E+07,31679.60
1677085570,144981.42,1.645983E+08,158267.47,28998.68,3.292000E+07,31653.82
1677085580,125012.33,1.658484E+08,157950.78,25001.35,3.317000E+07,31590.46
1677085590,154903.05,1.673978E+08,157922.02,30991.49,3.348000E+07,31584.81
1677085600,170029.48,1.690976E+08,158035.13,34010.70,3.382000E+07,31607.48
1677085610,180010.82,1.708978E+08,158238.63,35997.60,3.418000E+07,31648.13
1677085620,134990.65,1.722478E+08,158025.34,26999.41,3.445000E+07,31605.48
1677085630,175019.21,1.739978E+08,158179.82,35002.32,3.480000E+07,31636.36
1677085640,165008.50,1.756479E+08,158241.33,33000.66,3.513000E+07,31648.65
1677085650,139996.80,1.770479E+08,158078.43,27998.80,3.541000E+07,31616.06
1677085660,164999.10,1.786980E+08,158139.68,32998.30,3.574000E+07,31628.29
1677085670,139982.75,1.800977E+08,157980.42,28002.47,3.602000E+07,31596.49
1677085680,114982.38,1.812476E+08,157606.51,22999.12,3.625000E+07,31521.73
1677085690,164993.37,1.828975E+08,157670.19,32999.63,3.658000E+07,31534.47
1677085700,145013.70,1.843477E+08,157562.01,28998.66,3.687000E+07,31512.79
1677085710,129999.99,1.856476E+08,157328.46,26002.48,3.713000E+07,31466.10
1677085720,164950.53,1.872972E+08,157392.51,32998.11,3.746000E+07,31478.97
1677085730,190050.69,1.891977E+08,157664.66,38000.46,3.784000E+07,31533.32
1677085740,145009.93,1.906477E+08,157560.08,29000.95,3.813000E+07,31512.39
1677085750,174980.77,1.923976E+08,157702.88,34998.63,3.848000E+07,31540.97
1677085760,154984.55,1.939476E+08,157680.77,30996.19,3.879000E+07,31536.54
1677085770,145079.83,1.953982E+08,157579.17,29004.92,3.908000E+07,31516.12
1677085780,149967.32,1.968979E+08,157518.28,29999.94,3.938000E+07,31503.99
1677085790,150042.15,1.983983E+08,157458.94,30000.51,3.968000E+07,31492.06
1677085800,174976.84,2.001481E+08,157596.88,34999.77,4.003000E+07,31519.68
1677085810,174961.95,2.018978E+08,157732.56,34997.11,4.038000E+07,31546.85
1677085820,144955.15,2.033473E+08,157633.51,29001.99,4.067000E+07,31527.13
1677085830,140052.94,2.047478E+08,157498.28,28000.27,4.095000E+07,31500.00
1677085840,135026.78,2.060981E+08,157326.73,26998.80,4.122000E+07,31465.63
1677085850,119987.56,2.072980E+08,157043.86,24000.31,4.146000E+07,31409.08
1677085860,134980.34,2.086478E+08,156877.97,26999.83,4.173000E+07,31375.93
1677085870,129979.75,2.099475E+08,156677.25,26000.99,4.199000E+07,31335.82
1677085880,169983.48,2.116474E+08,156775.81,33999.66,4.233000E+07,31355.55
1677085890,159996.09,2.132475E+08,156799.49,31997.86,4.265000E+07,31360.27
1677085900,144976.44,2.146971E+08,156713.20,29001.69,4.294000E+07,31343.06
1677085910,145087.61,2.161480E+08,156628.95,28999.28,4.323000E+07,31326.07
1677085920,114963.54,2.172977E+08,156329.20,23000.07,4.346000E+07,31266.17
1677085930,130003.64,2.185978E+08,156141.16,25999.21,4.372000E+07,31228.55
1677085940,144921.76,2.200470E+08,156061.58,28999.31,4.401000E+07,31212.74
1677085950,135025.37,2.213971E+08,155913.46,27002.83,4.428000E+07,31183.10
1677085960,145040.22,2.228475E+08,155837.42,28999.40,4.457000E+07,31167.83
1677085970,174952.25,2.245970E+08,155970.16,35000.53,4.492000E+07,31194.44
1677085980,154976.87,2.261469E+08,155963.31,30998.17,4.523000E+07,31193.09
1677085990,140002.20,2.275469E+08,155853.99,27999.88,4.551000E+07,31171.22
1677086000,139938.73,2.289463E+08,155745.72,27999.83,4.579000E+07,31149.64
1677086010,160064.98,2.305469E+08,155774.90,32002.35,4.611000E+07,31155.40
1677086020,125023.38,2.317972E+08,155568.50,24998.28,4.636000E+07,31114.08
1677086030,114950.69,2.329467E+08,155297.72,23000.30,4.659000E+07,31059.99
1677086040,139990.19,2.343466E+08,155196.35,28000.44,4.687000E+07,31039.73
1677086050,120036.25,2.355469E+08,154965.04,24000.69,4.711000E+07,30993.42
1677086060,164979.82,2.371967E+08,155030.49,32999.56,4.744000E+07,31006.53
1677086070,135017.09,2.385470E+08,154900.53,26998.14,4.771000E+07,30980.50
1677086080,119987.38,2.397468E+08,154675.29,24001.40,4.795000E+07,30935.48
1677086090,179998.41,2.415468E+08,154837.63,35998.48,4.831000E+07,30967.93
1677086100,120017.46,2.427470E+08,154615.85,24000.45,4.855000E+07,30923.55
1677086110,114961.67,2.438965E+08,154364.89,23001.37,4.878000E+07,30873.42
1677086120,124985.78,2.451465E+08,154180.10,24997.72,4.903000E+07,30836.46
1677086130,145064.46,2.465971E+08,154123.12,29000.09,4.932000E+07,30824.98
1677086140,119955.95,2.477967E+08,153910.91,24000.23,4.956000E+07,30782.59
1677086150,180041.33,2.495970E+08,154072.20,36001.31,4.992000E+07,30814.81
1677086160,184972.34,2.514468E+08,154261.77,37000.07,5.029000E+07,30852.75
1677086170,149970.90,2.529464E+08,154235.61,30000.90,5.059000E+07,30847.56
1677086180,140012.60,2.543466E+08,154149.40,27998.92,5.087000E+07,30830.29
1677086190,154940.26,2.558960E+08,154154.17,30999.41,5.118000E+07,30831.31
1677086200,165018.62,2.575461E+08,154219.22,33001.88,5.151000E+07,30844.31
1677086210,135044.09,2.588966E+08,154105.08,26999.54,5.178000E+07,30821.42
1677086220,144966.92,2.603463E+08,154051.01,29000.10,5.207000E+07,30810.65
1677086230,155013.58,2.618965E+08,154056.67,30998.56,5.238000E+07,30811.75
1677086240,145006.96,2.633465E+08,154003.75,29000.99,5.267000E+07,30801.16
1677086250,164984.59,2.649963E+08,154067.59,33000.68,5.300000E+07,30813.95
1677086260,119999.68,2.661963E+08,153870.66,23999.22,5.324000E+07,30774.56
1677086270,159970.49,2.677960E+08,153905.72,32000.26,5.356000E+07,30781.60
1677086280,140017.57,2.691963E+08,153826.35,27998.23,5.384000E+07,30765.70
1677086290,164997.10,2.708462E+08,153889.82,33001.02,5.417000E+07,30778.40
1677086300,179992.44,2.726462E+08,154037.30,35999.13,5.453000E+07,30807.89
1677086310,154970.61,2.741958E+08,154042.54,31001.16,5.484000E+07,30808.98
1677086320,135019.60,2.755460E+08,153936.27,26999.60,5.511000E+07,30787.70
1677086330,149964.31,2.770457E+08,153914.20,29999.26,5.541000E+07,30783.32
1677086340,155046.76,2.785962E+08,153920.46,31000.47,5.572000E+07,30784.52
1677086350,146377.11,2.800599E+08,153879.01,29284.22,5.601284E+07,30776.27

Summary:
loaded 280059920 metrics in 1820.031sec with 1 workers (mean rate 153876.47 metrics/sec)
loaded 56012840 rows in 1820.031sec with 1 workers (mean rate 30775.77 rows/sec)
