Bulk loading file /home/user/data/large-data.csv.gz
localhost:5432 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1677082255,434977.71,4.349836E+06,434977.71,86998.82,8.700000E+05,86998.82
1677082265,365012.92,8.000100E+06,399994.90,72997.30,1.600000E+06,79997.98
1677082275,299776.35,1.099998E+07,366573.53,59957.59,2.200000E+06,73314.81
1677082285,270207.82,1.370013E+07,342499.60,54038.68,2.740000E+06,68499.28
1677082295,354577.78,1.725033E+07,344917.63,70911.48,3.450000E+06,68982.20
1677082305,280432.99,2.005112E+07,334183.82,56070.90,4.010000E+06,66833.04
1677082315,259940.55,2.265069E+07,323577.08,51996.59,4.530000E+06,64713.44
1677082325,415018.73,2.680070E+07,335006.73,83003.59,5.360000E+06,66999.60
1677082335,319950.17,3.000035E+07,333333.72,63997.07,6.000000E+06,66665.97
1677082345,270015.21,3.270044E+07,327002.05,54001.20,6.540000E+06,65399.53
1677082355,310026.47,3.580075E+07,325458.81,61999.13,7.160000E+06,65090.40
1677082365,369963.83,3.950012E+07,329167.29,74005.25,7.900000E+06,65833.25
1677082375,369966.48,4.319986E+07,332305.75,73998.50,8.640000E+06,66461.36
1677082385,370040.14,4.690016E+07,335000.98,74002.19,9.380000E+06,66999.97
1677082395,404941.89,5.094975E+07,339663.90,80996.46,1.019000E+07,67933.11
1677082405,390005.23,5.484970E+07,342810.14,78002.09,1.097000E+07,68562.40
1677082415,344922.52,5.829918E+07,342934.41,68994.82,1.166000E+07,68587.84
1677082425,299953.08,6.129857E+07,340546.68,60002.94,1.226000E+07,68110.93
1677082435,340017.66,6.469880E+07,340518.83,67998.81,1.294000E+07,68105.03
1677082445,339921.15,6.809858E+07,340488.95,67988.63,1.362000E+07,68099.21
1677082455,380054.90,7.189865E+07,342372.79,76009.70,1.438000E+07,68475.85
1677082465,290013.77,7.479878E+07,339992.85,58000.19,1.496000E+07,67999.68
1677082475,319978.61,7.799928E+07,339122.49,63985.72,1.560000E+07,67825.13
1677082485,189955.71,7.989858E+07,332908.08,38005.06,1.598000E+07,66582.80
1677082495,415026.27,8.404846E+07,336192.50,83007.57,1.681000E+07,67239.73
1677082505,375029.71,8.779878E+07,337686.24,74999.70,1.756000E+07,67538.19
1677082515,280031.01,9.059899E+07,335550.94,56001.96,1.812000E+07,67110.94
1677082525,274958.77,9.334857E+07,333386.94,55000.07,1.867000E+07,66678.41
1677082535,275011.68,9.609905E+07,331373.75,54992.82,1.922000E+07,66275.41
1677082545,315040.60,9.924892E+07,330829.40,63010.68,1.985000E+07,66166.60
1677082555,314958.84,1.023986E+08,330317.43,62997.61,2.048000E+07,66064.37
1677082565,374451.68,1.061485E+08,331698.55,74892.01,2.123000E+07,66340.62
1677082575,350494.79,1.096483E+08,332267.29,70104.33,2.193000E+07,66454.50
1677082585,364969.04,1.132982E+08,333229.15,72995.97,2.266000E+07,66646.91
1677082595,309990.26,1.163979E+08,332565.22,62003.33,2.328000E+07,66514.24
1677082605,369957.94,1.200977E+08,333603.95,73996.63,2.402000E+07,66722.10
1677082615,340023.25,1.234977E+08,333777.44,68002.97,2.470000E+07,66756.71
1677082625,339575.50,1.268979E+08,333930.21,67912.06,2.538000E+07,66787.15
1677082635,315469.27,1.300487E+08,333457.44,63077.35,2.601000E+07,66692.15
1677082645,354973.00,1.335983E+08,333995.31,71002.44,2.672000E+07,66799.90
1677082655,335028.48,1.369484E+08,334020.50,67003.46,2.739000E+07,66804.87
1677082665,344974.94,1.403982E+08,334281.33,68999.39,2.808000E+07,66857.12
1677082675,324998.10,1.436484E+08,334065.42,64995.54,2.873000E+07,66813.82
1677082685,424990.37,1.478981E+08,336131.81,85003.43,2.958000E+07,67227.20
1677082695,420006.08,1.520982E+08,337995.67,84000.66,3.042000E+07,67599.94
1677082705,304834.48,1.551481E+08,337274.42,60969.38,3.103000E+07,67455.73
1677082715,365218.96,1.587986E+08,337868.72,73032.27,3.176000E+07,67574.33
1677082725,369975.11,1.624981E+08,338537.55,74006.22,3.250000E+07,67708.31
1677082735,420020.76,1.666983E+08,340200.48,83999.67,3.334000E+07,68040.79
1677082745,419942.11,1.708978E+08,341795.35,83997.70,3.418000E+07,68359.94
1677082755,329953.12,1.741975E+08,341563.15,65998.06,3.484000E+07,68313.63
1677082765,230043.77,1.764978E+08,339418.59,46000.99,3.530000E+07,67884.55
1677082775,289957.51,1.793975E+08,338485.33,57997.74,3.588000E+07,67698.00
1677082785,340009.79,1.827976E+08,338513.56,68001.40,3.656000E+07,67703.62
1677082795,380004.11,1.865974E+08,339267.90,76003.30,3.732000E+07,67854.51
1677082805,379631.13,1.903978E+08,339989.43,75918.24,3.808000E+07,67998.66
1677082815,305320.67,1.934478E+08,339381.85,61064.62,3.869000E+07,67877.14
1677082825,309974.58,1.965477E+08,338874.80,61996.52,3.931000E+07,67775.74
1677082835,415006.56,2.006975E+08,340165.08,83005.63,4.014000E+07,68033.86
1677082845,304952.26,2.037472E+08,339578.17,60996.77,4.075000E+07,67916.57
1677082855,370078.05,2.074478E+08,340078.15,74003.37,4.149000E+07,68016.35
1677082865,424924.76,2.116971E+08,341446.67,84998.23,4.234000E+07,68290.25
1677082875,370072.99,2.153978E+08,341901.04,74001.72,4.308000E+07,68380.91
1677082885,314912.79,2.185475E+08,341479.27,62987.92,4.371000E+07,68296.63
1677082895,270008.06,2.212472E+08,340379.87,54007.61,4.425000E+07,68076.83
1677082905,464958.67,2.258969E+08,342267.45,92998.77,4.518000E+07,68454.44
1677082915,330023.12,2.291968E+08,342084.72,66005.74,4.584000E+07,68417.89
1677082925,289984.62,2.320968E+08,341318.50,57997.08,4.642000E+07,68264.64
1677082935,314961.14,2.352464E+08,340936.51,62999.43,4.705000E+07,68188.33
1677082945,384756.64,2.390965E+08,341562.90,76950.93,4.782000E+07,68313.59
1677082955,360275.80,2.426970E+08,341826.30,72044.91,4.854000E+07,68366.11
1677082965,374974.93,2.464466E+08,342286.68,75002.27,4.929000E+07,68458.28
1677082975,220022.23,2.486468E+08,340611.84,44000.37,4.973000E+07,68123.24
1677082985,384943.73,2.524964E+08,341210.94,76997.39,5.050000E+07,68243.16
1677082995,289891.96,2.553960E+08,340526.53,57986.07,5.108000E+07,68106.37
1677083005,335111.10,2.587461E+08,340455.29,67020.70,5.175000E+07,68092.09
1677083015,355012.28,2.622965E+08,340644.36,70994.06,5.246000E+07,68129.78
1677083025,309982.97,2.653964E+08,340251.25,61997.95,5.308000E+07,68051.17
1677083035,265001.80,2.680461E+08,339298.85,53006.76,5.361000E+07,67860.75
1677083045,309952.39,2.711457E+08,338932.01,61998.24,5.423000E+07,67787.47
1677083055,260017.01,2.737459E+08,337957.76,52000.76,5.475000E+07,67592.58
1677083065,289963.17,2.766455E+08,337372.46,57999.19,5.533000E+07,67475.58
1677083075,320066.55,2.798464E+08,337163.94,63996.51,5.597000E+07,67433.66

Summary:
loaded 280059920 metrics in 830.475sec with 4 workers (mean rate 337228.62 metrics/sec)
loaded 56012840 rows in 830.475sec with 4 workers (mean rate 67446.75 rows/sec)
