Bulk loading file /home/user/data/medium_devops_data.csv.gz
localhost:5432 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1677356769,414235.52,4.142400E+06,414235.52,36999.60,3.700000E+05,36999.60
1677356779,393614.14,8.080000E+06,403922.97,34987.03,7.200000E+05,35993.14
1677356789,291668.24,1.099560E+07,366518.74,26009.65,9.800000E+05,32666.55
1677356799,324679.05,1.424240E+07,356058.82,28999.91,1.270000E+06,31749.89
1677356809,382318.86,1.806560E+07,361310.83,33999.90,1.610000E+06,32199.90
1677356819,336179.86,2.142760E+07,357122.14,29998.20,1.910000E+06,31832.93
1677356829,314515.44,2.457280E+07,351035.46,27999.59,2.190000E+06,31285.31
1677356839,279961.55,2.737240E+07,342151.36,25000.14,2.440000E+06,30499.68
1677356849,337595.24,3.074840E+07,341645.13,29999.58,2.740000E+06,30444.11
1677356859,336126.98,3.410960E+07,341093.33,30000.62,3.040000E+06,30399.76
1677356869,291532.23,3.702520E+07,336587.41,25997.52,3.300000E+06,29999.53
1677356879,382345.69,4.084840E+07,340400.31,34002.28,3.640000E+06,30333.06
1677356889,324690.44,4.409520E+07,339191.91,29000.93,3.930000E+06,30230.60
1677356899,314461.60,4.723960E+07,337425.58,28001.92,4.210000E+06,30071.42
1677356909,291505.52,5.015520E+07,334363.71,25995.14,4.470000E+06,29799.62
1677356919,326101.84,5.341560E+07,333847.44,29005.50,4.760000E+06,29749.99
1677356929,279937.75,5.621520E+07,330676.05,24998.01,5.010000E+06,29470.45
1677356939,291821.96,5.913320E+07,328517.65,26001.96,5.270000E+06,29277.77
1677356949,358917.62,6.272240E+07,330117.66,31999.79,5.590000E+06,29421.03
1677356959,337580.05,6.609840E+07,330490.80,29998.23,5.890000E+06,29449.89
1677356969,303007.17,6.912840E+07,329182.09,27000.64,6.160000E+06,29333.26
1677356979,302985.23,7.215840E+07,327991.27,26998.68,6.430000E+06,29227.14
1677356989,347732.50,7.563560E+07,328849.55,31001.11,6.740000E+06,29304.27
1677356999,324681.84,7.888240E+07,328675.90,29000.16,7.030000E+06,29291.60
1677357009,303015.28,8.191240E+07,327649.52,27001.36,7.300000E+06,29199.99
1677357019,314404.43,8.505760E+07,327139.92,27989.71,7.580000E+06,29153.43
1677357029,370912.85,8.876560E+07,328760.64,33010.04,7.910000E+06,29296.22
1677357039,258250.97,9.134840E+07,326242.17,22997.42,8.140000E+06,29071.24
1677357049,167421.25,9.302240E+07,320766.29,15001.90,8.290000E+06,28586.15
1677357059,337590.00,9.639840E+07,321327.10,29999.11,8.590000E+06,28633.25
1677357069,313490.54,9.953320E+07,321074.31,28000.94,8.870000E+06,28612.86
1677357079,280944.44,1.023428E+08,319820.19,24998.62,9.120000E+06,28499.91
1677357089,258295.78,1.049256E+08,317955.93,23001.41,9.350000E+06,28333.29
1677357099,380942.88,1.087352E+08,319808.57,33998.47,9.690000E+06,28499.92
1677357109,281338.79,1.115484E+08,318709.50,25001.67,9.940000E+06,28399.98
1677357119,291436.38,1.144628E+08,317951.91,25999.68,1.020000E+07,28333.31
1677357129,370729.04,1.181700E+08,319378.28,33000.80,1.053000E+07,28459.45
1677357139,313201.09,1.213024E+08,319215.70,27996.52,1.081000E+07,28447.27
1677357149,281336.35,1.241156E+08,318244.50,25001.45,1.106000E+07,28358.92
1677357159,359279.75,1.277084E+08,319270.38,31999.98,1.138000E+07,28449.94
1677357169,302994.00,1.307384E+08,318873.39,26999.47,1.165000E+07,28414.57
1677357179,380932.56,1.345476E+08,320350.93,34001.12,1.199000E+07,28547.58
1677357189,370818.55,1.382556E+08,321524.54,33001.65,1.232000E+07,28651.15
1677357199,291374.05,1.411696E+08,320839.24,25997.68,1.258000E+07,28590.84
1677357209,314596.93,1.443156E+08,320700.52,27999.73,1.286000E+07,28577.71
1677357219,303011.98,1.473456E+08,320316.01,27001.07,1.313000E+07,28543.43
1677357229,223693.71,1.495824E+08,318260.34,20001.23,1.333000E+07,28361.69
1677357239,359267.58,1.531752E+08,319114.69,31998.89,1.365000E+07,28437.47
1677357249,370756.97,1.568828E+08,320168.62,32999.73,1.398000E+07,28530.58
1677357259,279972.10,1.596824E+08,319364.72,25001.08,1.423000E+07,28459.99
1677357269,302974.64,1.627124E+08,319043.32,26997.74,1.450000E+07,28431.32
1677357279,348101.88,1.661932E+08,319602.10,31001.95,1.481000E+07,28480.75
1677357289,292528.06,1.691184E+08,319091.29,26000.72,1.507000E+07,28433.96
1677357299,302976.64,1.721484E+08,318792.85,26997.92,1.534000E+07,28407.36
1677357309,223694.52,1.743852E+08,317063.90,20001.30,1.554000E+07,28254.54

Summary:
loaded 174528000 metrics in 550.776sec with 1 workers (mean rate 316876.30 metrics/sec)
loaded 15552000 rows in 550.776sec with 1 workers (mean rate 28236.50 rows/sec)
