Bulk loading file /home/user/data/medium-data.csv
localhost:5432 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1676825536,190038.22,1.900452E+06,190038.22,37998.60,3.800000E+05,37998.60
1676825546,179956.48,3.699956E+06,184997.53,36001.22,7.400000E+05,36999.95
1676825556,174970.39,5.449748E+06,181655.04,34998.24,1.090000E+06,36332.69
1676825566,174995.02,7.199856E+06,179989.94,34996.84,1.440000E+06,35998.71
1676825576,155062.43,8.750268E+06,175005.13,31004.24,1.750000E+06,34999.95
1676825586,174982.54,1.050009E+07,175001.36,35000.11,2.100000E+06,34999.98
1676825596,184978.67,1.234994E+07,176426.74,36998.69,2.470000E+06,35285.52
1676825606,150034.78,1.385040E+07,173127.55,29997.84,2.770000E+06,34624.52
1676825616,159965.42,1.545005E+07,171665.11,32000.04,3.090000E+06,34332.92
1676825626,185058.46,1.730050E+07,173004.34,37002.65,3.460000E+06,34599.87
1676825636,115001.78,1.845056E+07,167731.24,22999.24,3.690000E+06,33545.24
1676825646,155051.86,2.000102E+07,166674.67,31001.09,4.000000E+06,33333.23
1676825656,144973.21,2.145077E+07,165005.31,28999.68,4.290000E+06,32999.88
1676825666,164990.38,2.310070E+07,165004.25,32999.44,4.620000E+06,32999.85
1676825676,149951.07,2.460022E+07,164000.70,29999.89,4.920000E+06,32799.85
1676825686,145031.07,2.605045E+07,162815.17,29001.57,5.210000E+06,32562.47
1676825696,129981.20,2.735036E+07,160883.62,25998.00,5.470000E+06,32176.30
1676825706,139979.74,2.875008E+07,159722.36,28001.55,5.750000E+06,31944.38
1676825716,120036.00,2.995053E+07,157633.45,23998.16,5.990000E+06,31526.13
1676825726,80016.70,3.075064E+07,153752.93,16001.26,6.150000E+06,30749.95
1676825736,119998.41,3.195064E+07,152145.55,23999.60,6.390000E+06,30428.50
1676825746,109962.50,3.305023E+07,150228.20,22000.66,6.610000E+06,30045.43
1676825756,135016.16,3.440048E+07,149566.76,26998.27,6.880000E+06,29912.94
1676825766,135010.19,3.575053E+07,148960.26,27001.00,7.150000E+06,29791.61
1676825776,154967.17,3.730025E+07,149200.54,30999.11,7.460000E+06,29839.91
1676825786,115005.83,3.845034E+07,147885.33,22999.33,7.690000E+06,29576.80
1676825796,160011.25,4.005038E+07,148334.42,32001.37,8.010000E+06,29666.60
1676825806,130015.60,4.135058E+07,147680.15,25999.12,8.270000E+06,29535.61
1676825816,149949.81,4.285002E+07,147758.42,30001.16,8.570000E+06,29551.67
1676825826,115001.27,4.400001E+07,146666.54,23000.57,8.800000E+06,29333.30
1676825836,155042.76,4.555048E+07,146936.75,30999.03,9.110000E+06,29387.04
1676825846,134974.54,4.690016E+07,146562.95,27001.47,9.380000E+06,29312.49
1676825856,130003.41,4.820026E+07,146061.12,25998.52,9.640000E+06,29212.06
1676825866,129961.09,4.949988E+07,145587.59,25999.90,9.900000E+06,29117.59
1676825876,120038.72,5.070028E+07,144857.61,23999.74,1.014000E+07,28971.36
1676825886,154944.42,5.224973E+07,145137.80,30999.84,1.045000E+07,29027.71
1676825896,149986.92,5.374954E+07,145268.85,30001.22,1.075000E+07,29054.02
1676825906,144983.98,5.519937E+07,145261.36,29000.16,1.104000E+07,29052.60
1676825916,145006.76,5.664946E+07,145254.83,28999.51,1.133000E+07,29051.24
1676825926,139973.48,5.804916E+07,145122.80,28000.86,1.161000E+07,29024.98
1676825936,139940.55,5.944854E+07,144996.41,28000.43,1.189000E+07,28999.99
1676825946,134985.63,6.079842E+07,144758.05,26999.53,1.216000E+07,28952.36
1676825956,145049.34,6.224891E+07,144764.82,29000.11,1.245000E+07,28953.47
1676825966,105008.64,6.329898E+07,143861.29,21000.29,1.266000E+07,28772.72
1676825976,130013.52,6.459912E+07,143553.56,25999.82,1.292000E+07,28711.10
1676825986,115034.38,6.574946E+07,142933.58,23000.23,1.315000E+07,28586.95
1676825996,129979.94,6.704933E+07,142657.96,25998.47,1.341000E+07,28531.88
1676826006,94941.90,6.799880E+07,141663.83,18999.10,1.360000E+07,28333.27
1676826016,105014.60,6.904891E+07,140915.91,21000.60,1.381000E+07,28183.63
1676826026,140019.21,7.044905E+07,140897.97,28001.04,1.409000E+07,28179.97
1676826036,129998.13,7.174904E+07,140684.25,25999.79,1.435000E+07,28137.22
1676826046,104985.67,7.279889E+07,139997.74,21000.17,1.456000E+07,27999.97
1676826056,125019.84,7.404906E+07,139715.15,25000.69,1.481000E+07,27943.39
1676826066,119958.78,7.524874E+07,139349.26,23998.16,1.505000E+07,27870.32
1676826076,145060.11,7.669930E+07,139453.09,29000.74,1.534000E+07,27890.87

Summary:
loaded 77791920 metrics in 559.594sec with 1 workers (mean rate 139015.04 metrics/sec)
loaded 15558640 rows in 559.594sec with 1 workers (mean rate 27803.47 rows/sec)
