Bulk loading file /home/user/data/medium-data.csv
localhost:5432 - accepting connections
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1675986703,464923.42,4.649712E+06,464923.42,92990.44,9.300000E+05,92990.44
1675986713,300030.83,7.649908E+06,382482.90,60002.25,1.530000E+06,76497.50
1675986723,320008.72,1.085011E+07,361658.12,63997.66,2.170000E+06,72330.88
1675986733,295019.95,1.380026E+07,344999.24,59001.11,2.760000E+06,68998.57
1675986743,285058.25,1.665064E+07,333011.90,57003.89,3.330000E+06,66599.80
1675986753,290009.26,1.955088E+07,325844.50,57997.05,3.910000E+06,65165.95
1675986763,279933.38,2.235031E+07,319285.65,55998.20,4.470000E+06,63856.25
1675986773,275011.81,2.510039E+07,313751.56,55000.76,5.020000E+06,62749.34
1675986783,269986.00,2.780013E+07,308888.95,54002.32,5.560000E+06,61777.50
1675986793,275000.01,3.055019E+07,305500.01,54998.88,6.110000E+06,61099.63
1675986803,255019.31,3.310033E+07,300910.96,51001.06,6.620000E+06,60181.60
1675986813,284982.52,3.595030E+07,299583.53,56996.98,7.190000E+06,59916.20
1675986823,259994.61,3.855003E+07,296538.49,52004.36,7.710000E+06,59307.65
1675986833,315031.19,4.170053E+07,297859.47,62996.32,8.340000E+06,59571.14
1675986843,264879.45,4.435030E+07,295660.05,52980.45,8.870000E+06,59131.61
1675986853,290116.96,4.725048E+07,295313.73,58019.71,9.450000E+06,59062.14
1675986863,264936.37,4.989997E+07,293526.76,52997.59,9.980000E+06,58705.39
1675986873,219965.77,5.209955E+07,289440.21,44001.55,1.042000E+07,57888.54
1675986883,299982.80,5.509912E+07,289995.03,60005.12,1.102000E+07,57999.93
1675986893,314974.92,5.824907E+07,291244.10,62996.02,1.165000E+07,58249.75
1675986903,230010.14,6.054907E+07,288328.33,46002.03,1.211000E+07,57666.55
1675986913,199733.24,6.254847E+07,284297.30,39958.56,1.251000E+07,56860.85
1675986923,220256.00,6.474888E+07,281515.64,44043.11,1.295000E+07,56304.10
1675986933,219956.40,6.694903E+07,278950.02,43988.16,1.339000E+07,55790.81
1675986943,180059.85,6.874914E+07,274995.50,36009.81,1.375000E+07,54999.79
1675986953,290019.52,7.164911E+07,275573.30,58004.54,1.433000E+07,55115.35
1675986963,279971.93,7.444900E+07,275736.23,55996.47,1.489000E+07,55147.98
1675986973,244988.43,7.689874E+07,274638.16,49002.97,1.538000E+07,54928.53

Summary:
loaded 77791920 metrics in 283.387sec with 4 workers (mean rate 274507.56 metrics/sec)
loaded 15558640 rows in 283.387sec with 4 workers (mean rate 54902.42 rows/sec)
